Usina elétrica;Dispositivo;Categoria;Evento;Subevento/Categorização;Data de início;Data Final;Duração;Descrição de categorização
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:40:59.626;2025/01/24 04:41:23.789;00:00:24;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:44:18.854;2025/01/24 04:44:20.876;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:44:58.077;2025/01/24 04:45:02.093;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:47:05.845;2025/01/24 04:47:48.109;00:00:42;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:48:24.331;2025/01/24 04:48:51.546;00:00:27;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:49:20.702;2025/01/24 04:49:22.704;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:50:22.066;2025/01/24 04:50:47.236;00:00:25;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:51:30.500;2025/01/24 04:51:36.531;00:00:06;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:52:43.985;2025/01/24 04:52:48.001;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:53:20.203;2025/01/24 04:53:23.218;00:00:03;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:53:57.421;2025/01/24 04:54:05.468;00:00:08;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:55:20.891;2025/01/24 04:55:35.969;00:00:15;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:56:11.219;2025/01/24 04:56:28.281;00:00:17;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:57:04.470;2025/01/24 04:57:34.641;00:00:30;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 04:58:57.124;2025/01/24 04:59:08.185;00:00:11;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:00:31.752;2025/01/24 05:00:38.798;00:00:07;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 05:02:22.443;2025/01/24 05:02:43.558;00:00:21;
